dissimilarity,homogeneity,contrast,energy,correlation,ASM,label
12.78169014,0.177578766,592.0323944,0.052007889,0.951907777,0.00270482,1
20.53380282,0.074520181,937.1070423,0.028169014,0.903338615,0.000793493,1
4.966579537,0.292404147,114.6081031,0.031340008,0.966900944,0.000982196,1
5.926297578,0.453322266,182.9885813,0.137707569,0.899158411,0.018963374,1
5.341859597,0.260789268,89.66747573,0.027460458,0.980196429,0.000754077,1
8.096478873,0.169936719,203.8105634,0.032910765,0.965695499,0.001083118,1
9.295182972,0.205856653,368.1551531,0.029119032,0.96408141,0.000847918,1
8.736877076,0.189721903,425.0305648,0.025117685,0.935584037,0.000630898,1
4.59537037,0.320820669,113.9050926,0.036148188,0.992206273,0.001306692,1
7.183888889,0.329588979,303.6872222,0.046844898,0.915275163,0.002194444,1
5.355788624,0.286727358,119.3309399,0.026760743,0.986899179,0.000716137,1
5.355788624,0.286727358,119.3309399,0.026760743,0.986899179,0.000716137,1
7.204395604,0.29283378,286.1263736,0.053672067,0.917553108,0.002880691,1
3.832530884,0.440829163,70.00681026,0.175813809,0.993146335,0.030910496,1
4.200259516,0.242252994,50.40942907,0.02910845,0.975000806,0.000847302,1
3.787283737,0.352699787,58.76133218,0.060380251,0.977224559,0.003645775,1
4.904735152,0.312892685,107.5583467,0.043421685,0.973774504,0.001885443,1
8.845858586,0.199312825,352.1026936,0.019636068,0.954489429,0.000385575,1
6.459742351,0.249399941,188.6288245,0.04601363,0.963131028,0.002117254,1
2.221587851,0.49170997,23.63362168,0.046167073,0.995362741,0.002131399,1
5.585414585,0.305817091,113.6393606,0.041141379,0.967550787,0.001692613,1
3.908801697,0.319494799,45.8223754,0.036715768,0.995384092,0.001348048,1
6.025133057,0.251199243,120.3622117,0.033852801,0.972354876,0.001146012,1
5.444186047,0.26742503,108.1730897,0.03588655,0.984883832,0.001287845,1
4.916203704,0.298367228,90.10925926,0.042031581,0.985796046,0.001766654,1
7.26507177,0.257494293,272.2162679,0.039161445,0.93984516,0.001533619,1
4.110948668,0.285280214,58.48164392,0.03148465,0.990892503,0.000991283,1
5.203935185,0.281807736,100.769213,0.031772889,0.9743894,0.001009516,1
2.64089399,0.401719192,20.71879719,0.029871992,0.997636789,0.000892336,1
6.297171896,0.242923753,137.9991162,0.022843579,0.983478957,0.000521829,1
4.946906714,0.295894105,68.89301072,0.021684063,0.987809089,0.000470199,1
6.244079131,0.398719,223.5305099,0.059798417,0.978694911,0.003575851,1
5.53943662,0.47500023,166.8239437,0.182412039,0.951004916,0.033274152,1
10.64252492,0.19388239,400.4086379,0.027910932,0.901057135,0.00077902,1
8.727755194,0.272770933,462.9328139,0.034385647,0.946718742,0.001182373,1
15.34225352,0.129852254,739.0943662,0.035393893,0.918160438,0.001252728,1
7.966494845,0.141886166,114.4709529,0.022395007,0.965699529,0.000501536,1
6.253521127,0.223908145,154.7042254,0.04733526,0.962030479,0.002240627,1
7.4,0.377732105,311.0661972,0.185432043,0.971858104,0.034385043,1
4.786967886,0.386701667,126.4116878,0.050721665,0.983621032,0.002572687,1
4.974750831,0.383942943,105.6046512,0.124663984,0.939211811,0.015541109,1
7.569014085,0.431275982,575.4816901,0.075860468,0.643656817,0.005754811,1
11.40627334,0.214538585,460.098581,0.039849483,0.844953574,0.001587981,1
8.553771471,0.198377812,231.240478,0.031193957,0.962990984,0.000973063,1
8.501038062,0.302954754,279.7737024,0.144700405,0.958428221,0.020938207,1
6.532486931,0.267888811,137.3487677,0.054119125,0.775565654,0.00292888,1
7.632125497,0.370851636,319.6615113,0.035251738,0.911608015,0.001242685,1
9.071321882,0.250021186,388.931292,0.031668636,0.967563081,0.001002903,1
6.434931507,0.308293011,171.5686036,0.063754019,0.955187157,0.004064575,1
14.77901987,0.152407298,816.6069332,0.024911621,0.927371397,0.000620589,1
6.782589483,0.311601986,159.3541759,0.121597814,0.928087848,0.014786028,1
12.38122605,0.188889979,447.0717141,0.056488838,0.911243828,0.003190989,1
14.11071695,0.160262726,478.2757655,0.041152586,0.864410588,0.001693535,1
2.844253947,0.484170874,53.20039043,0.071053295,0.985216704,0.005048571,1
10.20911128,0.159455974,364.4716206,0.022350257,0.92002821,0.000499534,1
13.81129568,0.110799274,577.2671096,0.029008478,0.946614377,0.000841492,1
3.951408451,0.466700608,93.59366197,0.099567603,0.873418986,0.009913708,1
9.821126761,0.184016129,464.9577465,0.032394366,0.958244766,0.001049395,1
12.10211268,0.201946949,513.2147887,0.060751428,0.964363903,0.003690736,1
19.15144665,0.10704768,1053.924503,0.02626734,0.747775347,0.000689973,1
8.522491349,0.172467297,264.0200692,0.028692612,0.961753233,0.000823266,1
12.10211268,0.201946949,513.2147887,0.060751428,0.964363903,0.003690736,1
9.161971831,0.234977917,527.3690141,0.042041723,0.976109988,0.001767506,1
10.02183099,0.1828565,260.1612676,0.03952455,0.910987666,0.00156219,1
8.73089701,0.264409395,377.5807309,0.033971623,0.955047781,0.001154071,1
4.166112957,0.439053775,150.3607973,0.067965985,0.98186162,0.004619375,1
21.26026886,0.161767499,851.8820015,0.036116006,0.745647885,0.001304366,1
5.764084507,0.258830837,123.521831,0.046797881,0.863889219,0.002190042,1
9.123943662,0.290453215,364.1577465,0.102464184,0.917253072,0.010498909,1
6.253364817,0.297408364,255.4828808,0.034288121,0.958416145,0.001175675,1
10.06971831,0.159144888,467.5838028,0.033448851,0.858325591,0.001118826,1
9.205633803,0.226187275,393.3943662,0.04733526,0.894266987,0.002240627,1
14.49929577,0.162109249,913.6105634,0.044605881,0.901936,0.001989685,1
6.81763776,0.321548705,285.645551,0.105271972,0.948799241,0.011082188,1
11.97740864,0.147979333,557.6624585,0.025673992,0.885921597,0.000659154,1
6.155339806,0.26117024,127.225168,0.03593797,0.917272613,0.001291538,1
7.694684385,0.357449819,444.9478405,0.081532869,0.974276357,0.006647609,1
3.931141869,0.471506224,64.29031142,0.17201513,0.989440852,0.029589205,1
9.556338028,0.214351092,213.4464789,0.077208282,0.940647712,0.005961119,1
11.90622837,0.193710699,542.0965398,0.029036895,0.952034088,0.000843141,1
12.62746479,0.179127834,619.1147887,0.035880956,0.967516067,0.001287443,1
7.035640138,0.192925695,142.332526,0.029090449,0.916392847,0.000846254,1
7.783388704,0.265072168,317.4126246,0.045743539,0.967199465,0.002092471,1
19.66691561,0.092626316,1003.175504,0.017777361,0.794586149,0.000316035,1
8.618685121,0.183542189,366.3903114,0.03167555,0.963471389,0.00100334,1
14.53943662,0.19686796,1004.176056,0.045213242,0.841269896,0.002044237,1
11.39929577,0.118970559,328.6415493,0.029307961,0.959182463,0.000858957,1
8.056826117,0.305442111,288.8663582,0.033290829,0.936453911,0.001108279,1
10.22479901,0.247210673,664.2405346,0.019036791,0.92412353,0.000362399,1
4.786967886,0.386701667,126.4116878,0.050721665,0.983621032,0.002572687,1
3.429757785,0.426219419,43.98961938,0.133257083,0.963195491,0.01775745,1
10.1915493,0.110361373,194.2802817,0.031541121,0.893740052,0.000994842,1
7.79051531,0.241256766,347.057879,0.032144982,0.940049871,0.0010333,1
8.14084507,0.243327443,259.8760563,0.049626656,0.950698152,0.002462805,1
8.14084507,0.243327443,259.8760563,0.049626656,0.950698152,0.002462805,1
10.7,0.286273731,583.3810631,0.055291416,0.968861343,0.003057141,1
7.86366782,0.34438143,285.5245675,0.053721325,0.950447337,0.002885981,1
6.326549664,0.217393865,103.279873,0.02774838,0.953477867,0.000769973,1
4.583186036,0.359104125,98.26590809,0.046024628,0.978459861,0.002118266,1
6.88648245,0.273333049,288.7662435,0.039172785,0.98209994,0.001534507,1
9.39035682,0.30231289,402.743112,0.066579956,0.864323905,0.004432891,1
3.6695295,0.597174215,361.4458551,0.168281084,0.980712502,0.028318523,1
8.70626682,0.303991846,464.8377547,0.099777283,0.922317798,0.009955506,1
5.175397047,0.310951829,150.913625,0.046017693,0.981840018,0.002117628,1
6.490317637,0.23787515,187.0672193,0.022163937,0.980705893,0.00049124,1
5.555555556,0.410287438,193.4015357,0.160189167,0.900930052,0.025660569,1
6.979783473,0.268626025,338.5531374,0.04266683,0.970569385,0.001820458,1
7.490104556,0.438576156,688.8769604,0.109075911,0.932673713,0.011897554,1
7.692957746,0.177542168,166.8253521,0.038054242,0.949202497,0.001448125,1
8.044982699,0.254863277,659.6546713,0.037882558,0.951696802,0.001435088,1
6.390426759,0.371920539,313.9705882,0.09014267,0.910179602,0.008125701,1
4.388372093,0.360761638,95.32724252,0.042439179,0.951973868,0.001801084,1
12.44996266,0.272504689,639.839059,0.120017574,0.945096429,0.014404218,1
3.071254971,0.544776199,53.88676536,0.29108283,0.98335215,0.084729214,1
31.66803585,0.042916069,1523.07991,0.016071949,0.450490142,0.000258308,1
7.622289973,0.339118771,387.7035908,0.209219277,0.98081593,0.043772706,1
5.344333478,0.309813043,100.704733,0.040557982,0.984035094,0.00164495,1
6.696415235,0.289542695,154.2300224,0.041024478,0.931133435,0.001683008,1
3.782724252,0.518030592,214.8465116,0.080162196,0.949022855,0.006425978,1
3.98199293,0.550275122,209.0204375,0.193448671,0.985673177,0.037422388,1
3.949624392,0.518962932,139.4138312,0.072751198,0.984391821,0.005292737,1
5.931665422,0.440888179,234.1755041,0.167354856,0.942620883,0.028007648,1
10.64252492,0.19388239,400.4086379,0.027910932,0.901057135,0.00077902,1
5.19884242,0.377362004,174.8668783,0.051421966,0.97639994,0.002644219,1
7.882677861,0.359810885,320.4441008,0.241160378,0.978157434,0.058158328,1
5.631794079,0.380870259,142.3770437,0.153196931,0.973532552,0.0234693,1
5.341011743,0.391212267,152.4200542,0.100918191,0.944021354,0.010184481,1
26.69596567,0.133822872,1691.228391,0.013972709,0.73516332,0.000195237,1
4.301344287,0.370018961,108.8297237,0.051724103,0.954312983,0.002675383,1
10.24647887,0.220455715,653.6929577,0.041075117,0.949055073,0.001687165,1
9.15459298,0.19446402,365.6288275,0.028391668,0.968255008,0.000806087,1
10.76362957,0.212350288,441.2587752,0.062944739,0.908683118,0.00396204,1
16.29411765,0.219049503,611.0491349,0.109534018,0.916817389,0.011997701,1
3.367998506,0.446888447,54.92886482,0.096853354,0.992648659,0.009380572,1
41.20392954,0.206214687,3621.738482,0.145837257,0.60239442,0.021268505,1
4.483756535,0.400698934,148.8564227,0.091396597,0.970989908,0.008353338,1
21.26026886,0.161767499,851.8820015,0.036116006,0.745647885,0.001304366,1
9.205633803,0.226187275,393.3943662,0.04733526,0.894266987,0.002240627,1
